equipment_type,hours_requested,fuel_cost_per_liter,price
3,8,0.64,579.69
3,12,0.64,561.38
3,24,0.64,512.57
1,4,0.62,330.00
1,8,0.62,313.50
1,12,0.62,303.60
1,24,0.62,277.20
2,4,0.62,462.00
2,8,0.62,438.90
2,12,0.62,425.04
2,24,0.62,388.08
3,4,0.62,594.00
3,8,0.62,564.30
3,12,0.62,546.48
3,24,0.62,498.96
1,4,0.64,341.00
1,8,0.64,323.95
1,12,0.64,313.72
1,24,0.64,286.44
2,4,0.64,477.40
2,8,0.64,453.53
2,12,0.64,439.21
2,24,0.64,401.02
3,4,0.64,613.80
3,8,0.64,583.11
3,12,0.64,564.70
3,24,0.64,515.59
1,4,0.61,328.00
1,8,0.61,311.60
1,12,0.61,301.76
1,24,0.61,275.52
2,4,0.61,459.20
2,8,0.61,436.24
2,12,0.61,422.46
2,24,0.61,385.73
3,4,0.61,590.40
3,8,0.61,560.88
3,12,0.61,543.17
3,24,0.61,495.94
1,4,0.60,327.00
1,8,0.60,310.65
1,12,0.60,300.84
1,24,0.60,274.68
2,4,0.60,457.80
2,8,0.60,434.91
2,12,0.60,421.18
2,24,0.60,384.55
3,4,0.60,588.60
3,8,0.60,559.17
3,12,0.60,541.51
3,24,0.60,494.42
1,4,0.59,324.00
1,8,0.59,307.80
1,12,0.59,298.08
1,24,0.59,272.16
2,4,0.59,453.60
2,8,0.59,430.92
2,12,0.59,417.31
2,24,0.59,381.02
3,4,0.59,583.20
3,8,0.59,554.04
3,12,0.59,536.54
3,24,0.59,489.89
1,4,0.60,386.00
1,8,0.60,366.70
1,12,0.60,355.12
1,24,0.60,324.24
2,4,0.60,540.40
2,8,0.60,513.38
2,12,0.60,497.17
2,24,0.60,453.94
3,4,0.60,694.80
3,8,0.60,660.06
3,12,0.60,639.22
3,24,0.60,583.63
1,4,0.61,372.00
1,8,0.61,353.40
1,12,0.61,342.24
1,24,0.61,312.48
2,4,0.61,520.80
2,8,0.61,494.76
2,12,0.61,479.14
2,24,0.61,437.47
3,4,0.61,669.60
3,8,0.61,636.12
3,12,0.61,616.03
3,24,0.61,562.46
1,4,0.58,355.00
1,8,0.58,337.25
1,12,0.58,326.60
1,24,0.58,298.20
2,4,0.58,497.00
2,8,0.58,472.15
2,12,0.58,457.24
2,24,0.58,417.48
3,4,0.58,639.00
3,8,0.58,607.05
3,12,0.58,587.88
3,24,0.58,536.76
1,4,0.55,339.00
1,8,0.55,322.05
1,12,0.55,311.88
1,24,0.55,284.76
2,4,0.55,474.60
2,8,0.55,450.87
2,12,0.55,436.63
2,24,0.55,398.66
3,4,0.55,610.20
3,8,0.55,579.69
3,12,0.55,561.38
3,24,0.55,512.57
1,4,0.42,258.00
1,8,0.42,245.10
1,12,0.42,237.36
1,24,0.42,216.72
2,4,0.42,361.20
2,8,0.42,343.14
2,12,0.42,332.30
2,24,0.42,303.41
3,4,0.42,464.40
3,8,0.42,441.18
3,12,0.42,427.25
3,24,0.42,390.10
1,4,0.30,184.00
1,8,0.30,174.80
1,12,0.30,169.28
1,24,0.30,154.56
2,4,0.30,257.60
2,8,0.30,244.72
2,12,0.30,236.99
2,24,0.30,216.38
3,4,0.30,331.20
3,8,0.30,314.64
3,12,0.30,304.70
3,24,0.30,278.21
1,4,0.32,196.00
1,8,0.32,186.20
1,12,0.32,180.32
1,24,0.32,164.64
2,4,0.32,274.40
2,8,0.32,260.68
2,12,0.32,252.45
2,24,0.32,230.50
3,4,0.32,352.80
3,8,0.32,335.16
3,12,0.32,324.58
3,24,0.32,296.35
1,4,0.38,233.00
1,8,0.38,221.35
1,12,0.38,214.36
1,24,0.38,195.72
2,4,0.38,326.20
2,8,0.38,309.89
2,12,0.38,300.10
2,24,0.38,274.01
3,4,0.38,419.40
3,8,0.38,398.43
3,12,0.38,385.85
3,24,0.38,352.30
1,4,0.41,251.00
1,8,0.41,238.45
1,12,0.41,230.92
1,24,0.41,210.84
2,4,0.41,351.40
2,8,0.41,333.83
2,12,0.41,323.29
2,24,0.41,295.18
3,4,0.41,451.80
3,8,0.41,429.21
3,12,0.41,415.66
3,24,0.41,379.51
1,4,0.43,264.00
1,8,0.43,250.80
1,12,0.43,242.88
1,24,0.43,221.76
2,4,0.43,369.60
2,8,0.43,351.12
2,12,0.43,340.03
2,24,0.43,310.46
3,4,0.43,475.20
3,8,0.43,451.44
3,12,0.43,437.18
3,24,0.43,399.17
1,4,0.42,266.00
1,8,0.42,252.70
1,12,0.42,244.72
1,24,0.42,223.44
2,4,0.42,372.40
2,8,0.42,353.78
2,12,0.42,342.61
2,24,0.42,312.82
3,4,0.42,478.80
3,8,0.42,454.86
3,12,0.42,440.50
3,24,0.42,402.19
1,4,0.41,260.00
1,8,0.41,247.00
1,12,0.41,239.20
1,24,0.41,218.40
2,4,0.41,364.00
2,8,0.41,345.80
2,12,0.41,334.88
2,24,0.41,305.76
3,4,0.41,468.00
3,8,0.41,444.60
3,12,0.41,430.56
3,24,0.41,393.12
1,4,0.44,295.00
1,8,0.44,280.25
1,12,0.44,271.40
1,24,0.44,247.80
2,4,0.44,413.00
2,8,0.44,392.35
2,12,0.44,379.96
2,24,0.44,346.92
3,4,0.44,531.00
3,8,0.44,504.45
3,12,0.44,488.52
3,24,0.44,446.04
1,4,0.48,321.00
1,8,0.48,304.95
1,12,0.48,295.32
1,24,0.48,269.64
2,4,0.48,449.40
2,8,0.48,426.93
2,12,0.48,413.45
2,24,0.48,377.50
3,4,0.48,577.80
3,8,0.48,548.91
3,12,0.48,531.58
3,24,0.48,485.35
1,4,0.52,349.00
1,8,0.52,331.55
1,12,0.52,321.08
1,24,0.52,293.16
2,4,0.52,488.60
2,8,0.52,464.17
2,12,0.52,449.51
2,24,0.52,410.42
3,4,0.52,628.20
3,8,0.52,596.79
3,12,0.52,577.94
3,24,0.52,527.69
1,4,0.56,375.00
1,8,0.56,356.25
1,12,0.56,345.00
1,24,0.56,315.00
2,4,0.56,525.00
2,8,0.56,498.75
2,12,0.56,483.00
2,24,0.56,441.00
3,4,0.56,675.00
3,8,0.56,641.25
3,12,0.56,621.00
3,24,0.56,567.00
1,4,0.60,401.00
1,8,0.60,380.95
1,12,0.60,368.92
1,24,0.60,336.84
2,4,0.60,561.40
2,8,0.60,533.33
2,12,0.60,516.49
2,24,0.60,471.58
3,4,0.60,721.80
3,8,0.60,685.71
3,12,0.60,664.06
3,24,0.60,606.31
1,4,0.61,408.00
1,8,0.61,387.60
1,12,0.61,375.36
1,24,0.61,342.72
2,4,0.61,571.20
2,8,0.61,542.64
2,12,0.61,525.50
2,24,0.61,479.81
3,4,0.61,734.40
3,8,0.61,697.68
3,12,0.61,675.65
3,24,0.61,616.90
1,4,0.64,423.00
1,8,0.64,401.85
1,12,0.64,389.16
1,24,0.64,355.32
2,4,0.64,592.20
2,8,0.64,562.59
2,12,0.64,544.82
2,24,0.64,497.45
3,4,0.64,761.40
3,8,0.64,723.33
3,12,0.64,700.49
3,24,0.64,639.58
1,4,0.66,455.00
1,8,0.66,432.25
1,12,0.66,418.60
1,24,0.66,382.20
2,4,0.66,637.00
2,8,0.66,605.15
2,12,0.66,586.04
2,24,0.66,535.08
3,4,0.66,819.00
3,8,0.66,778.05
3,12,0.66,753.48
3,24,0.66,687.96
1,4,0.68,481.00
1,8,0.68,456.95
1,12,0.68,442.52
1,24,0.68,404.04
2,4,0.68,673.40
2,8,0.68,639.73
2,12,0.68,619.53
2,24,0.68,565.66
3,4,0.68,865.80
3,8,0.68,822.51
3,12,0.68,796.54
3,24,0.68,727.27
1,4,0.67,500.00
1,8,0.67,475.00
1,12,0.67,460.00
1,24,0.67,420.00
2,4,0.67,700.00
2,8,0.67,665.00
2,12,0.67,644.00
2,24,0.67,588.00
3,4,0.67,900.00
3,8,0.67,855.00
3,12,0.67,828.00
3,24,0.67,756.00
1,4,0.70,514.00
1,8,0.70,488.30
1,12,0.70,472.88
1,24,0.70,431.76
2,4,0.70,719.60
2,8,0.70,683.62
2,12,0.70,662.03
2,24,0.70,604.46
3,4,0.70,925.20
3,8,0.70,878.94
3,12,0.70,851.18
3,24,0.70,777.17
1,4,0.75,550.00
1,8,0.75,522.50
1,12,0.75,506.00
1,24,0.75,462.00
2,4,0.75,770.00
2,8,0.75,731.50
2,12,0.75,708.40
2,24,0.75,646.80
3,4,0.75,990.00
3,8,0.75,940.50
3,12,0.75,910.80
3,24,0.75,831.60
1,4,0.74,540.00
1,8,0.74,513.00
1,12,0.74,496.80
1,24,0.74,453.60
2,4,0.74,756.00
2,8,0.74,718.20
2,12,0.74,695.52
2,24,0.74,635.04
3,4,0.74,972.00
3,8,0.74,923.40
3,12,0.74,894.24
3,24,0.74,816.48
1,4,0.71,525.00
1,8,0.71,498.75
1,12,0.71,483.00
1,24,0.71,441.00
2,4,0.71,735.00
2,8,0.71,698.25
2,12,0.71,676.20
2,24,0.71,617.40
3,4,0.71,945.00
3,8,0.71,897.75
3,12,0.71,869.40
3,24,0.71,793.80
1,4,0.78,578.00
1,8,0.78,549.10
1,12,0.78,531.76
1,24,0.78,485.52
2,4,0.78,809.20
2,8,0.78,768.74
2,12,0.78,744.46
2,24,0.78,679.73
3,4,0.78,1040.40
3,8,0.78,988.38
3,12,0.78,957.17
3,24,0.78,873.94
1,4,0.88,653.00
1,8,0.88,620.35
1,12,0.88,600.76
1,24,0.88,548.52
2,4,0.88,914.20
2,8,0.88,868.49
2,12,0.88,841.06
2,24,0.88,767.93
3,4,0.88,1175.40
3,8,0.88,1116.63
3,12,0.88,1081.37
3,24,0.88,987.34
1,4,1.15,709.00
1,8,1.15,673.55
1,12,1.15,652.28
1,24,1.15,595.56
2,4,1.15,992.60
2,8,1.15,942.97
2,12,1.15,913.19
2,24,1.15,833.78
3,4,1.15,1276.20
3,8,1.15,1212.39
3,12,1.15,1174.10
3,24,1.15,1072.01
1,4,1.12,750.00
1,8,1.12,712.50
1,12,1.12,690.00
1,24,1.12,630.00
2,4,1.12,1050.00
2,8,1.12,997.50
2,12,1.12,966.00
2,24,1.12,882.00
3,4,1.12,1350.00
3,8,1.12,1282.50
3,12,1.12,1242.00
3,24,1.12,1134.00
1,4,1.18,790.00
1,8,1.18,750.50
1,12,1.18,726.80
1,24,1.18,663.60
2,4,1.18,1106.00
2,8,1.18,1050.70
2,12,1.18,1017.52
2,24,1.18,929.04
3,4,1.18,1422.00
3,8,1.18,1350.90
3,12,1.18,1308.24
3,24,1.18,1194.48
1,4,1.22,910.00
1,8,1.22,864.50
1,12,1.22,837.20
1,24,1.22,764.40
2,4,1.22,1274.00
2,8,1.22,1210.30
2,12,1.22,1172.08
2,24,1.22,1070.16
3,4,1.22,1638.00
3,8,1.22,1556.10
3,12,1.22,1506.96
3,24,1.22,1375.92
1,4,1.10,820.00
1,8,1.10,779.00
1,12,1.10,754.40
1,24,1.10,688.80
2,4,1.10,1148.00
2,8,1.10,1090.60
2,12,1.10,1056.16
2,24,1.10,964.32
3,4,1.10,1476.00
3,8,1.10,1402.20
3,12,1.10,1357.92
3,24,1.10,1239.84
1,4,1.02,760.00
1,8,1.02,722.00
1,12,1.02,699.20
1,24,1.02,638.40
2,4,1.02,1064.00
2,8,1.02,1010.80
2,12,1.02,978.88
2,24,1.02,893.76
3,4,1.02,1368.00
3,8,1.02,1299.60
3,12,1.02,1258.56
3,24,1.02,1149.12
1,4,0.98,731.00
1,8,0.98,694.45
1,12,0.98,672.52
1,24,0.98,614.04
2,4,0.98,1023.40
2,8,0.98,972.23
2,12,0.98,941.53
2,24,0.98,859.66
3,4,0.98,1315.80
3,8,0.98,1250.01
3,12,0.98,1210.54
3,24,0.98,1105.27
1,4,0.99,738.00
1,8,0.99,701.10
1,12,0.99,678.96
1,24,0.99,619.92
2,4,0.99,1033.20
2,8,0.99,981.54
2,12,0.99,950.54
2,24,0.99,867.89
3,4,0.99,1328.40
3,8,0.99,1261.98
3,12,0.99,1222.13
3,24,0.99,1115.86
1,4,0.95,710.00
1,8,0.95,674.50
1,12,0.95,653.20
1,24,0.95,596.40
2,4,0.95,994.00
2,8,0.95,944.30
2,12,0.95,914.48
2,24,0.95,834.96
3,4,0.95,1278.00
3,8,0.95,1214.10
3,12,0.95,1175.76
3,24,0.95,1073.52
1,4,0.85,635.00
1,8,0.85,603.25
1,12,0.85,584.20
1,24,0.85,533.40
2,4,0.85,889.00
2,8,0.85,844.55
2,12,0.85,817.88
2,24,0.85,746.76
3,4,0.85,1143.00
3,8,0.85,1085.85
3,12,0.85,1051.56
3,24,0.85,960.12
1,4,0.86,642.00
1,8,0.86,609.90
1,12,0.86,590.64
1,24,0.86,539.28
2,4,0.86,898.80
2,8,0.86,853.86
2,12,0.86,826.90
2,24,0.86,755.00
3,4,0.86,1155.60
3,8,0.86,1097.82
3,12,0.86,1063.15
3,24,0.86,970.70
1,4,0.84,628.00
1,8,0.84,596.60
1,12,0.84,577.76
1,24,0.84,527.52
2,4,0.84,879.20
2,8,0.84,835.24
2,12,0.84,808.86
2,24,0.84,738.53
3,4,0.84,1130.40
3,8,0.84,1073.88
3,12,0.84,1039.97
3,24,0.84,949.54
1,4,0.82,612.00
1,8,0.82,581.40
1,12,0.82,563.04
1,24,0.82,514.08
2,4,0.82,856.80
2,8,0.82,813.96
2,12,0.82,788.26
2,24,0.82,719.71
3,4,0.82,1101.60
3,8,0.82,1046.52
3,12,0.82,1013.47
3,24,0.82,925.34
1,4,0.83,620.00
1,8,0.83,589.00
1,12,0.83,570.40
1,24,0.83,520.80
2,4,0.83,868.00
2,8,0.83,824.60
2,12,0.83,798.56
2,24,0.83,729.12
3,4,0.83,1116.00
3,8,0.83,1060.20
3,12,0.83,1026.72
3,24,0.83,937.44
1,4,0.79,590.00
1,8,0.79,560.50
1,12,0.79,542.80
1,24,0.79,495.60
2,4,0.79,826.00
2,8,0.79,784.70
2,12,0.79,759.92
2,24,0.79,693.84
3,4,0.79,1062.00
3,8,0.79,1008.90
3,12,0.79,977.04
3,24,0.79,892.08
1,4,0.78,582.00
1,8,0.78,552.90
1,12,0.78,535.44
1,24,0.78,488.88
2,4,0.78,814.80
2,8,0.78,774.06
2,12,0.78,749.62
2,24,0.78,684.43
3,4,0.78,1047.60
3,8,0.78,995.22
3,12,0.78,963.79
3,24,0.78,879.98
1,4,0.81,604.00
1,8,0.81,573.80
1,12,0.81,555.68
1,24,0.81,507.36
2,4,0.81,845.60
2,8,0.81,803.32
2,12,0.81,777.95
2,24,0.81,710.30
3,4,0.81,1087.20
3,8,0.81,1032.84
3,12,0.81,1000.22
3,24,0.81,913.25
1,4,0.85,634.00
1,8,0.85,602.30
1,12,0.85,583.28
1,24,0.85,532.56
2,4,0.85,887.60
2,8,0.85,843.22
2,12,0.85,816.59
2,24,0.85,745.58
3,4,0.85,1141.20
3,8,0.85,1084.14
3,12,0.85,1049.90
3,24,0.85,958.61
1,4,0.88,658.00
1,8,0.88,625.10
1,12,0.88,605.36
1,24,0.88,552.72
2,4,0.88,921.20
2,8,0.88,875.14
2,12,0.88,847.50
2,24,0.88,773.81
3,4,0.88,1184.40
3,8,0.88,1125.18
3,12,0.88,1089.65
3,24,0.88,994.90
1,4,0.84,627.00
1,8,0.84,595.65
1,12,0.84,576.84
1,24,0.84,526.68
2,4,0.84,877.80
2,8,0.84,833.91
2,12,0.84,807.58
2,24,0.84,737.35
3,4,0.84,1128.60
3,8,0.84,1072.17
3,12,0.84,1038.31
3,24,0.84,948.02
1,4,0.81,605.00
1,8,0.81,574.75
1,12,0.81,556.60
1,24,0.81,508.20
2,4,0.81,847.00
2,8,0.81,804.65
2,12,0.81,779.24
2,24,0.81,711.48
3,4,0.81,1089.00
3,8,0.81,1034.55
3,12,0.81,1001.88
3,24,0.81,914.76
1,4,0.78,582.00
1,8,0.78,552.90
1,12,0.78,535.44
1,24,0.78,488.88
2,4,0.78,814.80
2,8,0.78,774.06
2,12,0.78,749.62
2,24,0.78,684.43
3,4,0.78,1047.60
3,8,0.78,995.22
3,12,0.78,963.79
3,24,0.78,879.98
1,4,0.72,538.00
1,8,0.72,511.10
1,12,0.72,494.96
1,24,0.72,451.92
2,4,0.72,753.20
2,8,0.72,715.54
2,12,0.72,692.94
2,24,0.72,632.69
3,4,0.72,968.40
3,8,0.72,919.98
3,12,0.72,890.93
3,24,0.72,813.46
1,4,0.75,560.00
1,8,0.75,532.00
1,12,0.75,515.20
1,24,0.75,470.40
2,4,0.75,784.00
2,8,0.75,744.80
2,12,0.75,721.28
2,24,0.75,658.56
3,4,0.75,1008.00
3,8,0.75,957.60
3,12,0.75,927.36
3,24,0.75,846.72
1,4,0.78,583.00
1,8,0.78,553.85
1,12,0.78,536.36
1,24,0.78,489.72
2,4,0.78,816.20
2,8,0.78,775.39
2,12,0.78,750.90
2,24,0.78,685.61
3,4,0.78,1049.40
3,8,0.78,996.93
3,12,0.78,965.45
3,24,0.78,881.50
1,4,0.81,605.00
1,8,0.81,574.75
1,12,0.81,556.60
1,24,0.81,508.20
2,4,0.81,847.00
2,8,0.81,804.65
2,12,0.81,779.24
2,24,0.81,711.48
3,4,0.81,1089.00
3,8,0.81,1034.55
3,12,0.81,1001.88
3,24,0.81,914.76
1,4,0.76,568.00
1,8,0.76,539.60
1,12,0.76,522.56
1,24,0.76,477.12
2,4,0.76,795.20
2,8,0.76,755.44
2,12,0.76,731.58
2,24,0.76,667.97
3,4,0.76,1022.40
3,8,0.76,971.28
3,12,0.76,940.61
3,24,0.76,858.82
1,4,0.77,575.00
1,8,0.77,546.25
1,12,0.77,529.00
1,24,0.77,483.00
2,4,0.77,805.00
2,8,0.77,764.75
2,12,0.77,740.60
2,24,0.77,676.20
3,4,0.77,1035.00
3,8,0.77,983.25
3,12,0.77,952.20
3,24,0.77,869.40
1,4,0.79,590.00
1,8,0.79,560.50
1,12,0.79,542.80
1,24,0.79,495.60
2,4,0.79,826.00
2,8,0.79,784.70
2,12,0.79,759.92
2,24,0.79,693.84
3,4,0.79,1062.00
3,8,0.79,1008.90
3,12,0.79,977.04
3,24,0.79,892.08
1,4,0.74,553.00
1,8,0.74,525.35
1,12,0.74,508.76
1,24,0.74,464.52
2,4,0.74,774.20
2,8,0.74,735.49
2,12,0.74,712.26
2,24,0.74,650.33
3,4,0.74,995.40
3,8,0.74,945.63
3,12,0.74,915.77
3,24,0.74,836.14
1,4,0.70,523.00
1,8,0.70,496.85
1,12,0.70,481.16
1,24,0.70,439.32
2,4,0.70,732.20
2,8,0.70,695.59
2,12,0.70,673.62
2,24,0.70,615.05
3,4,0.70,941.40
3,8,0.70,894.33
3,12,0.70,866.09
3,24,0.70,790.78
1,4,0.73,545.00
1,8,0.73,517.75
1,12,0.73,501.40
1,24,0.73,457.80
2,4,0.73,763.00
2,8,0.73,724.85
2,12,0.73,701.96
2,24,0.73,640.92
3,4,0.73,981.00
3,8,0.73,931.95
3,12,0.73,902.52
3,24,0.73,824.04
1,4,0.71,530.00
1,8,0.71,503.50
1,12,0.71,487.60
1,24,0.71,445.20
2,4,0.71,742.00
2,8,0.71,704.90
2,12,0.71,682.64
2,24,0.71,623.28
3,4,0.71,954.00
3,8,0.71,906.30
3,12,0.71,877.68
3,24,0.71,801.36
1,4,0.69,516.00
1,8,0.69,490.20
1,12,0.69,474.72
1,24,0.69,433.44
2,4,0.69,722.40
2,8,0.69,686.28
2,12,0.69,664.61
2,24,0.69,606.82
3,4,0.69,928.80
3,8,0.69,882.36
3,12,0.69,854.50
3,24,0.69,780.19
1,4,0.72,538.00
1,8,0.72,511.10
1,12,0.72,494.96
1,24,0.72,451.92
2,4,0.72,753.20
2,8,0.72,715.54
2,12,0.72,692.94
2,24,0.72,632.69
3,4,0.72,968.40
3,8,0.72,919.98
3,12,0.72,890.93
3,24,0.72,813.46
1,4,0.74,553.00
1,8,0.74,525.35
1,12,0.74,508.76
1,24,0.74,464.52
2,4,0.74,774.20
2,8,0.74,735.49
2,12,0.74,712.26
2,24,0.74,650.33
3,4,0.74,995.40
3,8,0.74,945.63
3,12,0.74,915.77
3,24,0.74,836.14
1,4,0.76,568.00
1,8,0.76,539.60
1,12,0.76,522.56
1,24,0.76,477.12
2,4,0.76,795.20
2,8,0.76,755.44
2,12,0.76,731.58
2,24,0.76,667.97
3,4,0.76,1022.40
3,8,0.76,971.28
3,12,0.76,940.61
3,24,0.76,858.82
1,4,0.73,545.00
1,8,0.73,517.75
1,12,0.73,501.40
1,24,0.73,457.80
2,4,0.73,763.00
2,8,0.73,724.85
2,12,0.73,701.96
2,24,0.73,640.92
3,4,0.73,981.00
3,8,0.73,931.95
3,12,0.73,902.52
3,24,0.73,824.04
1,4,0.71,530.00
1,8,0.71,503.50
1,12,0.71,487.60
1,24,0.71,445.20
2,4,0.71,742.00
2,8,0.71,704.90
2,12,0.71,682.64
2,24,0.71,623.28
3,4,0.71,954.00
3,8,0.71,906.30
3,12,0.71,877.68
3,24,0.71,801.36
1,4,0.75,560.00
1,8,0.75,532.00
1,12,0.75,515.20
1,24,0.75,470.40
2,4,0.75,784.00
2,8,0.75,744.80
2,12,0.75,721.28
2,24,0.75,658.56
3,4,0.75,1008.00
3,8,0.75,957.60
3,12,0.75,927.36
3,24,0.75,846.72
1,4,0.78,583.00
1,8,0.78,553.85
1,12,0.78,536.36
1,24,0.78,489.72
2,4,0.78,816.20
2,8,0.78,775.39
2,12,0.78,750.90
2,24,0.78,685.61
3,4,0.78,1049.40
3,8,0.78,996.93
3,12,0.78,965.45
3,24,0.78,881.50
1,4,0.80,598.00
1,8,0.80,568.10
1,12,0.80,550.16
1,24,0.80,502.32
2,4,0.80,837.20
2,8,0.80,795.34
2,12,0.80,770.22
2,24,0.80,703.25
3,4,0.80,1076.40
3,8,0.80,1022.58
3,12,0.80,990.29
3,24,0.80,904.18
1,4,0.82,612.00
1,8,0.82,581.40
1,12,0.82,563.04
1,24,0.82,514.08
2,4,0.82,856.80
2,8,0.82,813.96
2,12,0.82,788.26
2,24,0.82,719.71
3,4,0.82,1101.60
3,8,0.82,1046.52
3,12,0.82,1013.47
3,24,0.82,925.34
1,4,0.81,605.00
1,8,0.81,574.75
1,12,0.81,556.60
1,24,0.81,508.20
2,4,0.81,847.00
2,8,0.81,804.65
2,12,0.81,779.24
2,24,0.81,711.48
3,4,0.81,1089.00
3,8,0.81,1034.55
3,12,0.81,1001.88
3,24,0.81,914.76
1,4,0.79,590.00
1,8,0.79,560.50
1,12,0.79,542.80
1,24,0.79,495.60
2,4,0.79,826.00
2,8,0.79,784.70
2,12,0.79,759.92
2,24,0.79,693.84
3,4,0.79,1062.00
3,8,0.79,1008.90
3,12,0.79,977.04
3,24,0.79,892.08
1,4,0.77,575.00
1,8,0.77,546.25
1,12,0.77,529.00
1,24,0.77,483.00
2,4,0.77,805.00
2,8,0.77,764.75
2,12,0.77,740.60
2,24,0.77,676.20
3,4,0.77,1035.00
3,8,0.77,983.25
3,12,0.77,952.20
3,24,0.77,869.40
1,4,0.76,568.00
1,8,0.76,539.60
1,12,0.76,522.56
1,24,0.76,477.12
2,4,0.76,795.20
2,8,0.76,755.44
2,12,0.76,731.58
2,24,0.76,667.97
3,4,0.76,1022.40
3,8,0.76,971.28
3,12,0.76,940.61
3,24,0.76,858.82
