service_id,batch_volume_qq,fuel_cost_per_liter,price
3,50,0.59,107.62
3,100,0.59,107.73
3,150,0.59,107.14
3,200,0.59,107.72
1,50,0.60,95.45
1,100,0.60,96.42
1,150,0.60,95.08
1,200,0.60,93.96
2,50,0.60,106.78
2,100,0.60,107.70
2,150,0.60,106.10
2,200,0.60,105.01
3,50,0.60,118.00
3,100,0.60,119.05
3,150,0.60,117.27
3,200,0.60,116.12
1,50,0.61,109.14
1,100,0.61,108.03
1,150,0.61,109.46
1,200,0.61,107.70
2,50,0.61,122.02
2,100,0.61,120.74
2,150,0.61,122.24
2,200,0.61,120.36
3,50,0.61,134.86
3,100,0.61,133.44
3,150,0.61,135.22
3,200,0.61,133.10
1,50,0.58,111.35
1,100,0.58,111.73
1,150,0.58,110.06
1,200,0.58,108.51
2,50,0.58,124.43
2,100,0.58,124.88
2,150,0.58,122.95
2,200,0.58,121.21
3,50,0.58,137.54
3,100,0.58,138.04
3,150,0.58,136.06
3,200,0.58,134.08
1,50,0.55,101.58
1,100,0.55,101.52
1,150,0.55,101.53
1,200,0.55,102.86
2,50,0.55,113.58
2,100,0.55,113.40
2,150,0.55,113.48
2,200,0.55,114.98
3,50,0.55,125.52
3,100,0.55,125.28
3,150,0.55,125.35
3,200,0.55,126.97
1,50,0.42,93.67
1,100,0.42,94.49
1,150,0.42,95.70
1,200,0.42,95.68
2,50,0.42,104.65
2,100,0.42,105.48
2,150,0.42,106.98
2,200,0.42,106.93
3,50,0.42,115.76
3,100,0.42,116.69
3,150,0.42,118.32
3,200,0.42,118.19
1,50,0.30,98.43
1,100,0.30,99.88
1,150,0.30,96.72
1,200,0.30,97.16
2,50,0.30,109.93
2,100,0.30,111.62
2,150,0.30,107.98
2,200,0.30,108.55
3,50,0.30,121.62
3,100,0.30,123.32
3,150,0.30,119.41
3,200,0.30,120.04
1,50,0.32,88.66
1,100,0.32,88.74
1,150,0.32,89.45
1,200,0.32,87.72
2,50,0.32,99.08
2,100,0.32,99.15
2,150,0.32,100.00
2,200,0.32,98.09
3,50,0.32,109.52
3,100,0.32,109.57
3,150,0.32,110.51
3,200,0.32,108.39
1,50,0.38,83.81
1,100,0.38,84.05
1,150,0.38,84.68
1,200,0.38,83.01
2,50,0.38,93.68
2,100,0.38,93.91
2,150,0.38,94.58
2,200,0.38,92.72
3,50,0.38,103.55
3,100,0.38,103.83
3,150,0.38,104.53
3,200,0.38,102.57
1,50,0.41,86.79
1,100,0.41,86.43
1,150,0.41,86.90
1,200,0.41,86.91
2,50,0.41,96.92
2,100,0.41,96.55
2,150,0.41,97.07
2,200,0.41,97.16
3,50,0.41,107.20
3,100,0.41,106.82
3,150,0.41,107.39
3,200,0.41,107.45
1,50,0.43,100.73
1,100,0.43,101.12
1,150,0.43,99.01
1,200,0.43,101.00
2,50,0.43,112.56
2,100,0.43,113.03
2,150,0.43,110.60
2,200,0.43,112.92
3,50,0.43,124.38
3,100,0.43,124.89
3,150,0.43,122.21
3,200,0.43,124.79
1,50,0.42,97.07
1,100,0.42,95.88
1,150,0.42,98.30
1,200,0.42,97.40
2,50,0.42,108.55
2,100,0.42,107.18
2,150,0.42,109.79
2,200,0.42,108.80
3,50,0.42,119.95
3,100,0.42,118.45
3,150,0.42,121.45
3,200,0.42,120.29
1,50,0.41,92.57
1,100,0.41,93.48
1,150,0.41,92.72
1,200,0.41,94.21
2,50,0.41,103.53
2,100,0.41,104.45
2,150,0.41,103.58
2,200,0.41,105.24
3,50,0.41,114.44
3,100,0.41,115.46
3,150,0.41,114.57
3,200,0.41,116.39
1,50,0.44,98.94
1,100,0.44,97.77
1,150,0.44,99.26
1,200,0.44,98.12
2,50,0.44,110.58
2,100,0.44,109.26
2,150,0.44,111.08
2,200,0.44,109.75
3,50,0.44,122.23
3,100,0.44,120.72
3,150,0.44,122.72
3,200,0.44,121.27
1,50,0.48,106.25
1,100,0.48,106.22
1,150,0.48,106.19
1,200,0.48,108.40
2,50,0.48,118.82
2,100,0.48,118.65
2,150,0.48,118.53
2,200,0.48,121.12
3,50,0.48,131.38
3,100,0.48,131.17
3,150,0.48,131.06
3,200,0.48,133.93
1,50,0.52,109.06
1,100,0.52,109.68
1,150,0.52,109.31
1,200,0.52,108.75
2,50,0.52,121.83
2,100,0.52,122.50
2,150,0.52,122.08
2,200,0.52,121.46
3,50,0.52,134.77
3,100,0.52,135.47
3,150,0.52,134.94
3,200,0.52,134.25
1,50,0.56,115.43
1,100,0.56,114.18
1,150,0.56,115.62
1,200,0.56,114.90
2,50,0.56,128.88
2,100,0.56,127.54
2,150,0.56,129.12
2,200,0.56,128.32
3,50,0.56,142.59
3,100,0.56,141.08
3,150,0.56,142.82
3,200,0.56,141.91
1,50,0.60,112.29
1,100,0.60,111.14
1,150,0.60,113.05
1,200,0.60,111.78
2,50,0.60,125.52
2,100,0.60,124.23
2,150,0.60,126.33
2,200,0.60,124.92
3,50,0.60,138.71
3,100,0.60,137.29
3,150,0.60,139.68
3,200,0.60,138.02
1,50,0.61,117.64
1,100,0.61,116.67
1,150,0.61,117.93
1,200,0.61,116.93
2,50,0.61,131.42
2,100,0.61,130.43
2,150,0.61,131.86
2,200,0.61,130.74
3,50,0.61,145.30
3,100,0.61,144.29
3,150,0.61,145.78
3,200,0.61,144.50
1,50,0.64,129.20
1,100,0.64,130.04
1,150,0.64,127.99
1,200,0.64,128.57
2,50,0.64,144.28
2,100,0.64,145.32
2,150,0.64,143.02
2,200,0.64,143.69
3,50,0.64,159.52
3,100,0.64,160.58
3,150,0.64,158.05
3,200,0.64,158.82
1,50,0.66,134.56
1,100,0.66,136.28
1,150,0.66,134.55
1,200,0.66,134.57
2,50,0.66,150.45
2,100,0.66,152.22
2,150,0.66,150.43
2,200,0.66,150.42
3,50,0.66,166.24
3,100,0.66,168.30
3,150,0.66,166.29
3,200,0.66,166.28
1,50,0.68,157.25
1,100,0.68,155.72
1,150,0.68,158.13
1,200,0.68,157.95
2,50,0.68,175.65
2,100,0.68,173.92
2,150,0.68,176.68
2,200,0.68,176.48
3,50,0.68,194.25
3,100,0.68,192.32
3,150,0.68,195.36
3,200,0.68,195.12
1,50,0.67,163.54
1,100,0.67,161.73
1,150,0.67,164.83
1,200,0.67,163.88
2,50,0.67,182.68
2,100,0.67,180.58
2,150,0.67,184.08
2,200,0.67,183.01
3,50,0.67,202.02
3,100,0.67,199.70
3,150,0.67,203.66
3,200,0.67,202.47
1,50,0.70,161.59
1,100,0.70,163.06
1,150,0.70,162.85
1,200,0.70,162.99
2,50,0.70,180.58
2,100,0.70,182.16
2,150,0.70,181.99
2,200,0.70,182.14
3,50,0.70,199.61
3,100,0.70,201.47
3,150,0.70,201.20
3,200,0.70,201.22
1,50,0.75,173.40
1,100,0.75,174.06
1,150,0.75,173.00
1,200,0.75,173.65
2,50,0.75,193.80
2,100,0.75,194.52
2,150,0.75,193.35
2,200,0.75,194.14
3,50,0.75,214.20
3,100,0.75,215.08
3,150,0.75,213.71
3,200,0.75,214.58
1,50,0.74,197.63
1,100,0.74,197.37
1,150,0.74,198.24
1,200,0.74,198.67
2,50,0.74,220.82
2,100,0.74,220.55
2,150,0.74,221.42
2,200,0.74,221.99
3,50,0.74,244.13
3,100,0.74,243.87
3,150,0.74,244.75
3,200,0.74,245.46
1,50,0.71,193.80
1,100,0.71,194.40
1,150,0.71,192.45
1,200,0.71,192.88
2,50,0.71,216.60
2,100,0.71,217.32
2,150,0.71,215.07
2,200,0.71,215.53
3,50,0.71,239.40
3,100,0.71,240.15
3,150,0.71,237.75
3,200,0.71,238.18
1,50,0.78,202.39
1,100,0.78,201.13
1,150,0.78,202.91
1,200,0.78,203.18
2,50,0.78,226.20
2,100,0.78,224.68
2,150,0.78,226.89
2,200,0.78,227.15
3,50,0.78,250.01
3,100,0.78,248.48
3,150,0.78,250.76
3,200,0.78,251.04
1,50,0.88,208.93
1,100,0.88,210.26
1,150,0.88,208.16
1,200,0.88,210.67
2,50,0.88,233.51
2,100,0.88,234.99
2,150,0.88,232.68
2,200,0.88,235.45
3,50,0.88,258.09
3,100,0.88,259.76
3,150,0.88,257.21
3,200,0.88,260.22
1,50,1.15,189.04
1,100,1.15,189.87
1,150,1.15,190.17
1,200,1.15,190.16
2,50,1.15,211.08
2,100,1.15,212.15
2,150,1.15,212.33
2,200,1.15,212.27
3,50,1.15,233.52
3,100,1.15,234.58
3,150,1.15,234.67
3,200,1.15,234.59
1,50,1.12,192.19
1,100,1.12,191.40
1,150,1.12,192.17
1,200,1.12,191.51
2,50,1.12,214.80
2,100,1.12,213.69
2,150,1.12,214.52
2,200,1.12,213.71
3,50,1.12,237.38
3,100,1.12,236.22
3,150,1.12,237.22
3,200,1.12,236.37
1,50,1.18,185.30
1,100,1.18,186.07
1,150,1.18,186.02
1,200,1.18,186.77
2,50,1.18,207.10
2,100,1.18,207.72
2,150,1.18,207.78
2,200,1.18,208.54
3,50,1.18,228.90
3,100,1.18,229.71
3,150,1.18,229.78
3,200,1.18,230.66
1,50,1.22,195.93
1,100,1.22,196.32
1,150,1.22,194.16
1,200,1.22,195.17
2,50,1.22,218.98
2,100,1.22,219.31
2,150,1.22,216.88
2,200,1.22,217.97
3,50,1.22,241.89
3,100,1.22,242.34
3,150,1.22,239.63
3,200,1.22,240.83
1,50,1.10,182.92
1,100,1.10,182.82
1,150,1.10,182.18
1,200,1.10,182.56
2,50,1.10,204.44
2,100,1.10,204.40
2,150,1.10,203.60
2,200,1.10,204.09
3,50,1.10,225.96
3,100,1.10,225.84
3,150,0.00,225.04
3,200,0.00,225.52
1,50,1.02,191.93
1,100,1.02,190.34
1,150,1.02,192.14
1,200,1.02,193.32
2,50,1.02,214.46
2,100,1.02,212.63
2,150,1.02,214.72
2,200,1.02,216.03
3,50,1.02,237.12
3,100,1.02,235.15
3,150,1.02,237.34
3,200,1.02,238.87
1,50,0.98,185.64
1,100,0.98,183.69
1,150,0.98,185.88
1,200,0.98,185.22
2,50,0.98,207.56
2,100,0.98,205.25
2,150,0.98,207.69
2,200,0.98,207.08
3,50,0.98,229.32
3,100,0.98,226.86
3,150,0.98,229.58
3,200,0.98,228.86
1,50,0.99,153.17
1,100,0.99,152.28
1,150,0.99,152.86
1,200,0.99,153.05
2,50,0.99,171.19
2,100,0.99,170.18
2,150,0.99,170.85
2,200,0.99,171.03
3,50,0.99,189.21
3,100,0.99,188.11
3,150,0.99,188.80
3,200,0.99,189.03
1,50,0.95,138.13
1,100,0.95,138.10
1,150,0.95,138.76
1,200,0.95,138.15
2,50,0.95,154.38
2,100,0.95,154.30
2,150,0.95,154.97
2,200,0.95,154.28
3,50,0.95,170.63
3,100,0.95,170.52
3,150,0.95,171.30
3,200,0.95,170.50
1,50,0.85,142.21
1,100,0.85,140.53
1,150,0.85,142.48
1,200,0.85,143.15
2,50,0.85,158.99
2,100,0.85,157.06
2,150,0.85,159.20
2,200,0.85,160.06
3,50,0.85,175.74
3,100,0.85,173.65
3,150,0.85,176.01
3,200,0.85,176.86
1,50,0.86,136.00
1,100,0.86,134.79
1,150,0.86,136.55
1,200,0.86,137.00
2,50,0.86,152.00
2,100,0.86,150.65
2,150,0.86,152.67
2,200,0.86,153.15
3,50,0.86,168.00
3,100,0.86,166.46
3,150,0.86,168.72
3,200,0.86,169.18
1,50,0.84,148.92
1,100,0.84,149.00
1,150,0.84,149.46
1,200,0.84,147.68
2,50,0.84,166.54
2,100,0.84,166.48
2,150,0.84,167.12
2,200,0.84,164.94
3,50,0.84,183.90
3,100,0.84,184.03
3,150,0.84,184.63
3,200,0.84,182.44
1,50,0.82,151.81
1,100,0.82,151.84
1,150,0.82,151.85
1,200,0.82,151.67
2,50,0.82,169.67
2,100,0.82,169.69
2,150,0.82,169.70
2,200,0.82,169.56
3,50,0.82,187.53
3,100,0.82,187.55
3,150,0.82,187.56
3,200,0.82,187.30
1,50,0.83,158.44
1,100,0.83,158.87
1,150,0.83,158.53
1,200,0.83,160.10
2,50,0.83,177.08
2,100,0.83,177.36
2,150,0.83,177.11
2,200,0.83,178.96
3,50,0.83,195.72
3,100,0.83,196.12
3,150,0.83,195.77
3,200,0.83,197.68
1,50,0.79,153.09
1,100,0.79,154.12
1,150,0.79,154.17
1,200,0.79,152.93
2,50,0.79,170.99
2,100,0.79,172.15
2,150,0.79,172.18
2,200,0.79,170.99
3,50,0.79,188.89
3,100,0.79,190.24
3,150,0.79,190.36
3,200,0.79,189.00
1,50,0.78,155.13
1,100,0.78,156.25
1,150,0.78,154.86
1,200,0.78,157.12
2,50,0.78,173.38
2,100,0.78,174.55
2,150,0.78,173.20
2,200,0.78,175.61
3,50,0.78,191.63
3,100,0.78,192.98
3,150,0.78,191.46
3,200,0.78,194.09
1,50,0.81,136.97
1,100,0.81,136.60
1,150,0.81,137.14
1,200,0.81,138.12
2,50,0.81,153.15
2,100,0.81,152.57
2,150,0.81,153.14
2,200,0.81,154.38
3,50,0.81,169.26
3,100,0.81,168.69
3,150,0.81,169.24
3,200,0.81,170.60
1,50,0.85,129.88
1,100,0.85,129.18
1,150,0.85,129.56
1,200,0.85,129.52
2,50,0.85,145.16
2,100,0.85,144.50
2,150,0.85,144.82
2,200,0.85,144.76
3,50,0.85,160.44
3,100,0.85,159.63
3,150,0.85,160.06
3,200,0.85,160.05
1,50,0.88,126.23
1,100,0.88,125.99
1,150,0.88,127.56
1,200,0.88,126.00
2,50,0.88,141.08
2,100,0.88,140.83
2,150,0.88,142.62
2,200,0.88,140.74
3,50,0.88,155.93
3,100,0.88,155.55
3,150,0.88,157.57
3,200,0.88,155.62
1,50,0.84,134.30
1,100,0.84,134.37
1,150,0.84,134.12
1,200,0.84,134.40
2,50,0.84,150.10
2,100,0.84,150.08
2,150,0.84,149.87
2,200,0.84,150.24
3,50,0.84,165.90
3,100,0.84,165.96
3,150,0.84,165.66
3,200,0.84,166.03
1,50,0.81,140.42
1,100,0.81,139.72
1,150,0.81,140.17
1,200,0.81,140.98
2,50,0.81,156.94
2,100,0.81,156.22
2,150,0.81,156.64
2,200,0.81,157.60
3,50,0.81,173.46
3,100,0.81,172.78
3,150,0.81,173.30
3,200,0.81,174.18
1,50,0.78,156.40
1,100,0.78,154.29
1,150,0.78,155.93
1,200,0.78,156.15
2,50,0.78,174.80
2,100,0.78,172.43
2,150,0.78,174.20
2,200,0.78,174.49
3,50,0.78,193.20
3,100,0.78,190.62
3,150,0.78,192.71
3,200,0.78,192.97
1,50,0.72,157.68
1,100,0.72,158.46
1,150,0.72,158.42
1,200,0.72,157.03
2,50,0.72,176.22
2,100,0.72,177.12
2,150,0.72,176.98
2,200,0.72,175.45
3,50,0.72,194.76
3,100,0.72,195.80
3,150,0.72,195.73
3,200,0.72,194.11
1,50,0.75,153.17
1,100,0.75,154.34
1,150,0.75,153.35
1,200,0.75,152.50
2,50,0.75,171.19
2,100,0.75,172.42
2,150,0.75,171.31
2,200,0.75,170.48
3,50,0.75,189.21
3,100,0.75,190.54
3,150,0.75,189.40
3,200,0.75,188.48
1,50,0.78,160.14
1,100,0.78,162.10
1,150,0.78,160.54
1,200,0.78,159.81
2,50,0.78,178.94
2,100,0.78,181.15
2,150,0.78,179.41
2,200,0.78,178.57
3,50,0.78,197.84
3,100,0.78,200.24
3,150,0.78,198.29
3,200,0.78,197.45
1,50,0.81,174.34
1,100,0.81,173.93
1,150,0.81,175.42
1,200,0.81,175.07
2,50,0.81,194.96
2,100,0.81,194.62
2,150,0.81,196.13
2,200,0.81,195.74
3,50,0.81,215.48
3,100,0.81,214.94
3,150,0.81,216.82
3,200,0.81,216.30
1,50,0.76,180.20
1,100,0.76,178.91
1,150,0.76,181.48
1,200,0.76,180.45
2,50,0.76,201.40
2,100,0.76,199.99
2,150,0.76,202.92
2,200,0.76,201.70
3,50,0.76,222.60
3,100,0.76,220.98
3,150,0.76,224.16
3,200,0.76,222.85
1,50,0.77,190.66
1,100,0.77,189.69
1,150,0.77,190.63
1,200,0.77,191.49
2,50,0.77,213.09
2,100,0.77,211.96
2,150,0.77,213.00
2,200,0.77,213.99
3,50,0.77,235.52
3,100,0.77,234.26
3,150,0.77,235.28
3,200,0.77,236.37
1,50,0.79,195.59
1,100,0.79,196.60
1,150,0.79,195.85
1,200,0.79,195.91
2,50,0.79,218.70
2,100,0.79,219.73
2,150,0.79,218.97
2,200,0.79,219.03
3,50,0.79,241.61
3,100,0.79,242.70
3,150,0.79,241.82
3,200,0.79,241.88
1,50,0.74,206.13
1,100,0.74,206.24
1,150,0.74,206.72
1,200,0.74,204.92
2,50,0.74,230.50
2,100,0.74,230.60
2,150,0.74,231.08
2,200,0.74,229.15
3,50,0.74,254.63
3,100,0.74,254.76
3,150,0.74,255.32
3,200,0.74,253.26
1,50,0.70,219.30
1,100,0.70,220.41
1,150,0.70,219.90
1,200,0.70,220.36
2,50,0.70,244.90
2,100,0.70,246.40
2,150,0.70,245.86
2,200,0.70,246.35
3,50,0.70,270.70
3,100,0.70,272.31
3,150,0.70,271.76
3,200,0.70,272.40
1,50,0.73,212.67
1,100,0.73,212.18
1,150,0.73,212.72
1,200,0.73,212.55
2,50,0.73,237.72
2,100,0.73,237.23
2,150,0.73,237.78
2,200,0.73,237.62
3,50,0.73,262.71
3,100,0.73,262.20
3,150,0.73,262.86
3,200,0.73,262.66
1,50,0.71,225.93
1,100,0.71,227.54
1,150,0.71,225.06
1,200,0.71,225.68
2,50,0.71,252.51
2,100,0.71,254.22
2,150,0.71,251.22
2,200,0.71,252.16
3,50,0.71,279.09
3,100,0.71,281.02
3,150,0.71,277.73
3,200,0.71,278.74
1,50,0.69,238.00
1,100,0.69,236.61
1,150,0.69,236.13
1,200,0.69,236.39
2,50,0.69,265.95
2,100,0.69,264.48
2,150,0.69,263.96
2,200,0.69,264.18
3,50,0.69,294.00
3,100,0.69,292.28
3,150,0.69,291.96
3,200,0.69,292.13
1,50,0.72,234.09
1,100,0.72,235.68
1,150,0.72,233.29
1,200,0.72,234.50
2,50,0.72,261.63
2,100,0.72,263.47
2,150,0.72,260.74
2,200,0.72,262.07
3,50,0.72,289.17
3,100,0.72,291.18
3,150,0.72,288.19
3,200,0.72,289.73
1,50,0.74,227.89
1,100,0.74,228.14
1,150,0.74,226.55
1,200,0.74,227.26
2,50,0.74,254.70
2,100,0.74,254.90
2,150,0.74,253.12
2,200,0.74,253.88
3,50,0.74,281.51
3,100,0.74,281.80
3,150,0.74,279.78
3,200,0.74,280.68
1,50,0.76,221.43
1,100,0.76,222.48
1,150,0.76,222.80
1,200,0.76,221.59
2,50,0.76,247.48
2,100,0.76,248.65
2,150,0.76,248.91
2,200,0.76,247.69
3,50,0.76,273.53
3,100,0.76,274.79
3,150,0.76,275.16
3,200,0.76,273.70
1,50,0.73,216.75
1,100,0.73,217.78
1,150,0.73,216.39
1,200,0.73,216.93
2,50,0.73,242.25
2,100,0.73,243.34
2,150,0.73,241.88
2,200,0.73,242.41
3,50,0.73,267.75
3,100,0.73,269.02
3,150,0.73,267.24
3,200,0.73,267.97
1,50,0.71,227.80
1,100,0.71,228.09
1,150,0.71,229.28
1,200,0.71,226.62
2,50,0.71,254.60
2,100,0.71,254.93
2,150,0.71,256.17
2,200,0.71,253.22
3,50,0.71,281.40
3,100,0.71,281.70
3,150,0.71,283.24
3,200,0.71,279.88
1,50,0.75,233.33
1,100,0.75,234.44
1,150,0.75,232.26
1,200,0.75,233.15
2,50,0.75,260.62
2,100,0.75,261.93
2,150,0.75,259.83
2,200,0.75,260.57
3,50,0.75,288.08
3,100,0.75,289.52
3,150,0.75,287.06
3,200,0.75,288.15
1,50,0.78,212.50
1,100,0.78,212.38
1,150,0.78,212.83
1,200,0.78,213.27
2,50,0.78,237.50
2,100,0.78,237.43
2,150,0.78,237.86
2,200,0.78,238.37
3,50,0.78,262.50
3,100,0.78,262.36
3,150,0.78,262.86
3,200,0.78,263.41
1,50,0.80,220.07
1,100,0.80,220.19
1,150,0.80,219.22
1,200,0.80,221.12
2,50,0.80,246.03
2,100,0.80,246.08
2,150,0.80,244.82
2,200,0.80,247.05
3,50,0.80,271.95
3,100,0.80,271.93
3,150,0.80,270.78
3,200,0.80,273.13
1,50,0.82,222.79
1,100,0.82,220.92
1,150,0.82,222.74
1,200,0.82,224.31
2,50,0.82,249.17
2,100,0.82,246.82
2,150,0.82,248.61
2,200,0.82,250.58
3,50,0.82,275.21
3,100,0.82,272.49
3,150,0.82,274.83
3,200,0.82,276.94
1,50,0.81,217.09
1,100,0.81,217.64
1,150,0.81,215.65
1,200,0.81,218.25
2,50,0.81,242.63
2,100,0.81,243.14
2,150,0.81,240.83
2,200,0.81,243.63
3,50,0.81,268.17
3,100,0.81,268.62
3,150,0.81,266.03
3,200,0.81,269.27
1,50,0.79,227.80
1,100,0.79,227.72
1,150,0.79,228.90
1,200,0.79,228.33
2,50,0.79,254.60
2,100,0.79,254.68
2,150,0.79,255.74
2,200,0.79,255.22
3,50,0.79,281.40
3,100,0.79,281.43
3,150,0.79,282.79
3,200,0.79,282.21
1,50,0.77,233.33
1,100,0.77,234.77
1,150,0.77,234.23
1,200,0.77,233.60
2,50,0.77,260.86
2,100,0.77,262.51
2,150,0.77,261.65
2,200,0.77,260.96
3,50,0.77,288.23
3,100,0.77,289.99
3,150,0.77,289.01
3,200,0.77,288.32
1,50,0.76,229.67
1,100,0.76,229.62
1,150,0.76,230.76
1,200,0.76,228.92
2,50,0.76,256.87
2,100,0.76,256.74
2,150,0.76,257.93
2,200,0.76,255.74
3,50,0.76,283.92
3,100,0.76,283.76
3,150,0.76,285.26
3,200,0.76,282.74
1,50,0.78,225.25
1,100,0.78,226.19
1,150,0.78,224.95
1,200,0.78,225.31
2,50,0.78,251.75
2,100,0.78,252.79
2,150,0.78,251.38
2,200,0.78,251.82
3,50,0.78,278.25
3,100,0.78,279.44
