service_id,batch_weight_kg,cooling_hours,electricity_kwh_rate,price
1,500,48,0.103,2.560
1,1000,48,0.103,2.423
1,2000,48,0.103,2.423
1,5000,48,0.103,2.354
2,500,48,0.103,2.780
2,1000,48,0.103,2.630
2,2000,48,0.103,2.630
2,5000,48,0.103,2.558
1,500,72,0.103,2.569
1,1000,72,0.103,2.431
1,2000,72,0.103,2.431
1,5000,72,0.103,2.362
2,500,72,0.103,2.800
2,1000,72,0.103,2.638
2,2000,72,0.103,2.638
2,5000,72,0.103,2.567
1,500,24,0.104,2.695
1,1000,24,0.104,2.572
1,2000,24,0.104,2.572
1,5000,24,0.104,2.498
2,500,24,0.104,2.940
2,1000,24,0.104,2.793
2,2000,24,0.104,2.793
2,5000,24,0.104,2.716
1,500,48,0.104,2.727
1,1000,48,0.104,2.581
1,2000,48,0.104,2.581
1,5000,48,0.104,2.508
2,500,48,0.104,2.960
2,1000,48,0.104,2.802
2,2000,48,0.104,2.802
2,5000,48,0.104,2.724
1,500,72,0.104,2.737
1,1000,72,0.104,2.590
1,2000,72,0.104,2.590
1,5000,72,0.104,2.517
2,500,72,0.104,2.980
2,1000,72,0.104,2.812
2,2000,72,0.104,2.812
2,5000,72,0.104,2.734
1,500,24,0.105,2.420
1,1000,24,0.105,2.310
1,2000,24,0.105,2.310
1,5000,24,0.105,2.244
2,500,24,0.105,2.640
2,1000,24,0.105,2.508
2,2000,24,0.105,2.508
2,5000,24,0.105,2.438
1,500,48,0.105,2.449
1,1000,48,0.105,2.317
1,2000,48,0.105,2.317
1,5000,48,0.105,2.252
2,500,48,0.105,2.658
2,1000,48,0.105,2.516
2,2000,48,0.105,2.516
2,5000,48,0.105,2.447
1,500,72,0.105,2.458
1,1000,72,0.105,2.325
1,2000,72,0.105,2.325
1,5000,72,0.105,2.260
2,500,72,0.105,2.676
2,1000,72,0.105,2.524
2,2000,72,0.105,2.524
2,5000,72,0.105,2.455
1,500,24,0.105,2.145
1,1000,24,0.105,2.047
1,2000,24,0.105,2.047
1,5000,24,0.105,1.989
2,500,24,0.105,2.340
2,1000,24,0.105,2.223
2,2000,24,0.105,2.223
2,5000,24,0.105,2.162
1,500,48,0.105,2.170
1,1000,48,0.105,2.054
1,2000,48,0.105,2.054
1,5000,48,0.105,1.996
2,500,48,0.105,2.356
2,1000,48,0.105,2.230
2,2000,48,0.105,2.230
2,5000,48,0.105,2.170
1,500,72,0.105,2.178
1,1000,72,0.105,2.061
1,2000,72,0.105,2.061
1,5000,72,0.105,2.003
2,500,72,0.105,2.372
2,1000,72,0.105,2.238
2,2000,72,0.105,2.238
2,5000,72,0.105,2.177
1,500,24,0.106,1.980
1,1000,24,0.106,1.890
1,2000,24,0.106,1.890
1,5000,24,0.106,1.836
2,500,24,0.106,2.160
2,1000,24,0.106,2.052
2,2000,24,0.106,2.052
2,5000,24,0.106,1.996
1,500,48,0.106,2.004
1,1000,48,0.106,1.897
1,2000,48,0.106,1.897
1,5000,48,0.106,1.844
2,500,48,0.106,2.175
2,1000,48,0.106,2.060
2,2000,48,0.106,2.060
2,5000,48,0.106,2.003
1,500,72,0.106,2.011
1,1000,72,0.106,1.904
1,2000,72,0.106,1.904
1,5000,72,0.106,1.850
2,500,72,0.106,2.190
2,1000,72,0.106,2.067
2,2000,72,0.106,2.067
2,5000,72,0.106,2.010
1,500,24,0.106,1.848
1,1000,24,0.106,1.764
1,2000,24,0.106,1.764
1,5000,24,0.106,1.714
2,500,24,0.106,2.016
2,1000,24,0.106,1.915
2,2000,24,0.106,1.915
2,5000,24,0.106,1.862
1,500,48,0.106,1.870
1,1000,48,0.106,1.770
1,2000,48,0.106,1.770
1,5000,48,0.106,1.720
2,500,48,0.106,2.030
2,1000,48,0.106,1.922
2,2000,48,0.106,1.922
2,5000,48,0.106,1.870
1,500,72,0.106,1.877
1,1000,72,0.106,1.776
1,2000,72,0.106,1.776
1,5000,72,0.106,1.726
2,500,72,0.106,2.044
2,1000,72,0.106,1.929
2,2000,72,0.106,1.929
2,5000,72,0.106,1.877
1,500,24,0.107,1.925
1,1000,24,0.107,1.838
1,2000,24,0.107,1.838
1,5000,24,0.107,1.785
2,500,24,0.107,2.100
2,1000,24,0.107,1.995
2,2000,24,0.107,1.995
2,5000,24,0.107,1.940
1,500,48,0.107,1.948
1,1000,48,0.107,1.844
1,2000,48,0.107,1.844
1,5000,48,0.107,1.792
2,500,48,0.107,2.114
2,1000,48,0.107,2.002
2,2000,48,0.107,2.002
2,5000,48,0.107,1.947
1,500,72,0.107,1.955
1,1000,72,0.107,1.850
1,2000,72,0.107,1.850
1,5000,72,0.107,1.798
2,500,72,0.107,2.128
2,1000,72,0.107,2.009
2,2000,72,0.107,2.009
2,5000,72,0.107,1.954
1,500,24,0.107,1.760
1,1000,24,0.107,1.680
1,2000,24,0.107,1.680
1,5000,24,0.107,1.632
2,500,24,0.107,1.920
2,1000,24,0.107,1.824
2,2000,24,0.107,1.824
2,5000,24,0.107,1.773
1,500,48,0.107,1.781
1,1000,48,0.107,1.686
1,2000,48,0.107,1.686
1,5000,48,0.107,1.638
2,500,48,0.107,1.933
2,1000,48,0.107,1.831
2,2000,48,0.107,1.831
2,5000,48,0.107,1.779
1,500,72,0.107,1.788
1,1000,72,0.107,1.692
1,2000,72,0.107,1.692
1,5000,72,0.107,1.644
2,500,72,0.107,1.946
2,1000,72,0.107,1.837
2,2000,72,0.107,1.837
2,5000,72,0.107,1.787
1,500,24,0.108,2.860
1,1000,24,0.108,2.730
1,2000,24,0.108,2.730
1,5000,24,0.108,2.652
2,500,24,0.108,3.120
2,1000,24,0.108,2.964
2,2000,24,0.108,2.964
2,5000,24,0.108,2.880
1,500,48,0.108,2.894
1,1000,48,0.108,2.740
1,2000,48,0.108,2.740
1,5000,48,0.108,2.662
2,500,48,0.108,3.142
2,1000,48,0.108,2.975
2,2000,48,0.108,2.975
2,5000,48,0.108,2.891
1,500,72,0.108,2.904
1,1000,72,0.108,2.750
1,2000,72,0.108,2.750
1,5000,72,0.108,2.671
2,500,72,0.108,3.164
2,1000,72,0.108,2.985
2,2000,72,0.108,2.985
2,5000,72,0.108,2.902
1,500,24,0.109,3.025
1,1000,24,0.109,2.888
1,2000,24,0.109,2.888
1,5000,24,0.109,2.805
2,500,24,0.109,3.300
2,1000,24,0.109,3.135
2,2000,24,0.109,3.135
2,5000,24,0.109,3.048
1,500,48,0.109,3.061
1,1000,48,0.109,2.898
1,2000,48,0.109,2.898
1,5000,48,0.109,2.815
2,500,48,0.109,3.322
2,1000,48,0.109,3.146
2,2000,48,0.109,3.146
2,5000,48,0.109,3.058
1,500,72,0.109,3.073
1,1000,72,0.109,2.908
1,2000,72,0.109,2.908
1,5000,72,0.109,2.824
2,500,72,0.109,3.344
2,1000,72,0.109,3.157
2,2000,72,0.109,3.157
2,5000,72,0.109,3.068
1,500,24,0.110,3.355
1,1000,24,0.110,3.203
1,2000,24,0.110,3.203
1,5000,24,0.110,3.111
2,500,24,0.110,3.660
2,1000,24,0.110,3.477
2,2000,24,0.110,3.477
2,5000,24,0.110,3.378
1,500,48,0.110,3.395
1,1000,48,0.110,3.214
1,2000,48,0.110,3.214
1,5000,48,0.110,3.122
2,500,48,0.110,3.685
2,1000,48,0.110,3.489
2,2000,48,0.110,3.489
2,5000,48,0.110,3.390
1,500,72,0.110,3.407
1,1000,72,0.110,3.226
1,2000,72,0.110,3.226
1,5000,72,0.110,3.134
2,500,72,0.110,3.710
2,1000,72,0.110,3.502
2,2000,72,0.110,3.502
2,5000,72,0.110,3.402
1,500,24,0.110,2.860
1,1000,24,0.110,2.730
1,2000,24,0.110,2.730
1,5000,24,0.110,2.652
2,500,24,0.110,3.120
2,1000,24,0.110,2.964
2,2000,24,0.110,2.964
2,5000,24,0.110,2.880
1,500,48,0.110,2.894
1,1000,48,0.110,2.740
1,2000,48,0.110,2.740
1,5000,48,0.110,2.662
2,500,48,0.110,3.142
2,1000,48,0.110,2.975
2,2000,48,0.110,2.975
2,5000,48,0.110,2.891
1,500,72,0.110,2.904
1,1000,72,0.110,2.750
1,2000,72,0.110,2.750
1,5000,72,0.110,2.671
2,500,72,0.110,3.164
2,1000,72,0.110,2.985
2,2000,72,0.110,2.985
2,5000,72,0.110,2.902
1,500,24,0.111,3.135
1,1000,24,0.111,2.993
1,2000,24,0.111,2.993
1,5000,24,0.111,2.907
2,500,24,0.111,3.420
2,1000,24,0.111,3.249
2,2000,24,0.111,3.249
2,5000,24,0.111,3.158
1,500,48,0.111,3.172
1,1000,48,0.111,3.003
1,2000,48,0.111,3.003
1,5000,48,0.111,2.917
2,500,48,0.111,3.443
2,1000,48,0.111,3.260
2,2000,48,0.111,3.260
2,5000,48,0.111,3.168
1,500,72,0.111,3.184
1,1000,72,0.111,3.014
1,2000,72,0.111,3.014
1,5000,72,0.111,2.927
2,500,72,0.111,3.466
2,1000,72,0.111,3.272
2,2000,72,0.111,3.272
2,5000,72,0.111,3.179
1,500,24,0.111,2.585
1,1000,24,0.111,2.468
1,2000,24,0.111,2.468
1,5000,24,0.111,2.397
2,500,24,0.111,2.820
2,1000,24,0.111,2.679
2,2000,24,0.111,2.679
2,5000,24,0.111,2.604
1,500,48,0.111,2.616
1,1000,48,0.111,2.476
1,2000,48,0.111,2.476
1,5000,48,0.111,2.405
2,500,48,0.111,2.839
2,1000,48,0.111,2.688
2,2000,48,0.111,2.688
2,5000,48,0.111,2.614
1,500,72,0.111,2.625
1,1000,72,0.111,2.485
1,2000,72,0.111,2.485
1,5000,72,0.111,2.414
2,500,72,0.111,2.858
2,1000,72,0.111,2.697
2,2000,72,0.111,2.697
2,5000,72,0.111,2.624
1,500,24,0.112,2.310
1,1000,24,0.112,2.205
1,2000,24,0.112,2.205
1,5000,24,0.112,2.142
2,500,24,0.112,2.520
2,1000,24,0.112,2.394
2,2000,24,0.112,2.394
2,5000,24,0.112,2.328
1,500,48,0.112,2.338
1,1000,48,0.112,2.212
1,2000,48,0.112,2.212
1,5000,48,0.112,2.150
2,500,48,0.112,2.538
2,1000,48,0.112,2.402
2,2000,48,0.112,2.402
2,5000,48,0.112,2.336
1,500,72,0.112,2.346
1,1000,72,0.112,2.219
1,2000,72,0.112,2.219
1,5000,72,0.112,2.157
2,500,72,0.112,2.556
2,1000,72,0.112,2.409
2,2000,72,0.112,2.409
2,5000,72,0.112,2.344
1,500,24,0.112,2.200
1,1000,24,0.112,2.100
1,2000,24,0.112,2.100
1,5000,24,0.112,2.040
2,500,24,0.112,2.400
2,1000,24,0.112,2.280
2,2000,24,0.112,2.280
2,5000,24,0.112,2.216
1,500,48,0.112,2.226
1,1000,48,0.112,2.107
1,2000,48,0.112,2.107
1,5000,48,0.112,2.048
2,500,48,0.112,2.416
2,1000,48,0.112,2.288
2,2000,48,0.112,2.288
2,5000,48,0.112,2.224
1,500,72,0.112,2.234
1,1000,72,0.112,2.114
1,2000,72,0.112,2.114
1,5000,72,0.112,2.055
2,500,72,0.112,2.432
2,1000,72,0.112,2.295
2,2000,72,0.112,2.295
2,5000,72,0.112,2.232
1,500,24,0.113,2.145
1,1000,24,0.113,2.048
1,2000,24,0.113,2.048
1,5000,24,0.113,1.989
2,500,24,0.113,2.340
2,1000,24,0.113,2.223
2,2000,24,0.113,2.223
2,5000,24,0.113,2.162
1,500,48,0.113,2.170
1,1000,48,0.113,2.054
1,2000,48,0.113,2.054
1,5000,48,0.113,1.996
2,500,48,0.113,2.356
2,1000,48,0.113,2.230
2,2000,48,0.113,2.230
2,5000,48,0.113,2.170
1,500,72,0.113,2.178
1,1000,72,0.113,2.061
1,2000,72,0.113,2.061
1,5000,72,0.113,2.003
2,500,72,0.113,2.372
2,1000,72,0.113,2.238
2,2000,72,0.113,2.238
2,5000,72,0.113,2.177
1,500,24,0.113,2.310
1,1000,24,0.113,2.205
1,2000,24,0.113,2.205
1,5000,24,0.113,2.142
2,500,24,0.113,2.520
2,1000,24,0.113,2.394
2,2000,24,0.113,2.394
2,5000,24,0.113,2.328
1,500,48,0.113,2.338
1,1000,48,0.113,2.212
1,2000,48,0.113,2.212
1,5000,48,0.113,2.150
2,500,48,0.113,2.538
2,1000,48,0.113,2.402
2,2000,48,0.113,2.402
2,5000,48,0.113,2.336
1,500,72,0.113,2.346
1,1000,72,0.113,2.219
1,2000,72,0.113,2.219
1,5000,72,0.113,2.157
2,500,72,0.113,2.556
2,1000,72,0.113,2.409
2,2000,72,0.113,2.409
2,5000,72,0.113,2.344
1,500,24,0.114,2.310
1,1000,24,0.114,2.205
1,2000,24,0.114,2.205
1,5000,24,0.114,2.142
2,500,24,0.114,2.520
2,1000,24,0.114,2.394
2,2000,24,0.114,2.394
2,5000,24,0.114,2.328
1,500,48,0.114,2.338
1,1000,48,0.114,2.212
1,2000,48,0.114,2.212
1,5000,48,0.114,2.150
2,500,48,0.114,2.538
2,1000,48,0.114,2.402
2,2000,48,0.114,2.402
2,5000,48,0.114,2.336
1,500,72,0.114,2.346
1,1000,72,0.114,2.219
1,2000,72,0.114,2.219
1,5000,72,0.114,2.157
2,500,72,0.114,2.556
2,1000,72,0.114,2.409
2,2000,72,0.114,2.409
2,5000,72,0.114,2.344
1,500,24,0.115,2.200
1,1000,24,0.115,2.100
1,2000,24,0.115,2.100
1,5000,24,0.115,2.040
2,500,24,0.115,2.400
2,1000,24,0.115,2.280
2,2000,24,0.115,2.280
2,5000,24,0.115,2.216
1,500,48,0.115,2.226
1,1000,48,0.115,2.107
1,2000,48,0.115,2.107
1,5000,48,0.115,2.048
2,500,48,0.115,2.416
2,1000,48,0.115,2.288
2,2000,48,0.115,2.288
2,5000,48,0.115,2.224
1,500,72,0.115,2.234
1,1000,72,0.115,2.114
1,2000,72,0.115,2.114
1,5000,72,0.115,2.055
2,500,72,0.115,2.432
2,1000,72,0.115,2.295
2,2000,72,0.115,2.295
2,5000,72,0.115,2.232
1,500,24,0.116,2.365
1,1000,24,0.116,2.257
1,2000,24,0.116,2.257
1,5000,24,0.116,2.192
2,500,24,0.116,2.580
2,1000,24,0.116,2.451
2,2000,24,0.116,2.451
2,5000,24,0.116,2.382
1,500,48,0.116,2.393
1,1000,48,0.116,2.264
1,2000,48,0.116,2.264
1,5000,48,0.116,2.199
2,500,48,0.116,2.598
2,1000,48,0.116,2.458
2,2000,48,0.116,2.458
2,5000,48,0.116,2.390
1,500,72,0.116,2.402
1,1000,72,0.116,2.271
1,2000,72,0.116,2.271
1,5000,72,0.116,2.206
2,500,72,0.116,2.616
2,1000,72,0.116,2.465
2,2000,72,0.116,2.465
2,5000,72,0.116,2.398
1,500,24,0.117,2.530
1,1000,24,0.117,2.415
1,2000,24,0.117,2.415
1,5000,24,0.117,2.346
2,500,24,0.117,2.760
2,1000,24,0.117,2.622
2,2000,24,0.117,2.622
2,5000,24,0.117,2.550
1,500,48,0.117,2.560
1,1000,48,0.117,2.423
1,2000,48,0.117,2.423
1,5000,48,0.117,2.354
2,500,48,0.117,2.780
2,1000,48,0.117,2.630
2,2000,48,0.117,2.630
2,5000,48,0.117,2.558
1,500,72,0.117,2.569
1,1000,72,0.117,2.431
1,2000,72,0.117,2.431
1,5000,72,0.117,2.362
2,500,72,0.117,2.800
2,1000,72,0.117,2.638
2,2000,72,0.117,2.638
2,5000,72,0.117,2.567
1,500,24,0.118,2.750
1,1000,24,0.118,2.625
1,2000,24,0.118,2.625
1,5000,24,0.118,2.550
2,500,24,0.118,3.000
2,1000,24,0.118,2.850
2,2000,24,0.118,2.850
2,5000,24,0.118,2.770
1,500,48,0.118,2.783
1,1000,48,0.118,2.633
1,2000,48,0.118,2.633
1,5000,48,0.118,2.558
2,500,48,0.118,3.021
2,1000,48,0.118,2.858
2,2000,48,0.118,2.858
2,5000,48,0.118,2.780
1,500,72,0.118,2.793
1,1000,72,0.118,2.641
1,2000,72,0.118,2.641
1,5000,72,0.118,2.567
2,500,72,0.118,3.042
2,1000,72,0.118,2.865
2,2000,72,0.118,2.865
2,5000,72,0.118,2.789
1,500,24,0.119,3.025
1,1000,24,0.119,2.888
1,2000,24,0.119,2.888
1,5000,24,0.119,2.805
2,500,24,0.119,3.300
2,1000,24,0.119,3.135
2,2000,24,0.119,3.135
2,5000,24,0.119,3.048
1,500,48,0.119,3.061
1,1000,48,0.119,2.898
1,2000,48,0.119,2.898
1,5000,48,0.119,2.815
2,500,48,0.119,3.322
2,1000,48,0.119,3.146
2,2000,48,0.119,3.146
2,5000,48,0.119,3.058
1,500,72,0.119,3.073
1,1000,72,0.119,2.908
1,2000,72,0.119,2.908
1,5000,72,0.119,2.824
2,500,72,0.119,3.344
2,1000,72,0.119,3.157
2,2000,72,0.119,3.157
2,5000,72,0.119,3.068
1,500,24,0.120,3.300
1,1000,24,0.120,3.150
1,2000,24,0.120,3.150
1,5000,24,0.120,3.060
2,500,24,0.120,3.600
2,1000,24,0.120,3.420
2,2000,24,0.120,3.420
2,5000,24,0.120,3.324
1,500,48,0.120,3.340
1,1000,48,0.120,3.161
1,2000,48,0.120,3.161
1,5000,48,0.120,3.070
2,500,48,0.120,3.624
2,1000,48,0.120,3.430
2,2000,48,0.120,3.430
2,5000,48,0.120,3.335
1,500,72,0.120,3.353
1,1000,72,0.120,3.171
1,2000,72,0.120,3.171
1,5000,72,0.120,3.080
2,500,72,0.120,3.648
2,1000,72,0.120,3.440
2,2000,72,0.120,3.440
2,5000,72,0.120,3.346
1,500,24,0.121,3.575
1,1000,24,0.121,3.413
1,2000,24,0.121,3.413
1,5000,24,0.121,3.315
2,500,24,0.121,3.900
2,1000,24,0.121,3.705
2,2000,24,0.121,3.705
2,5000,24,0.121,3.600
1,500,48,0.121,3.618
1,1000,48,0.121,3.424
1,2000,48,0.121,3.424
1,5000,48,0.121,3.327
2,500,48,0.121,3.927
2,1000,48,0.121,3.717
2,2000,48,0.121,3.717
2,5000,48,0.121,3.612
1,500,72,0.121,3.631
1,1000,72,0.121,3.436
1,2000,72,0.121,3.436
1,5000,72,0.121,3.337
2,500,72,0.121,3.954
2,1000,72,0.121,3.729
2,2000,72,0.121,3.729
2,5000,72,0.121,3.624
1,500,24,0.122,3.410
1,1000,24,0.122,3.256
1,2000,24,0.122,3.256
1,5000,24,0.122,3.162
2,500,24,0.122,3.720
2,1000,24,0.122,3.534
2,2000,24,0.122,3.534
2,5000,24,0.122,3.432
1,500,48,0.122,3.451
1,1000,48,0.122,3.267
1,2000,48,0.122,3.267
1,5000,48,0.122,3.174
2,500,48,0.122,3.746
2,1000,48,0.122,3.546
2,2000,48,0.122,3.546
2,5000,48,0.122,3.444
1,500,72,0.122,3.463
1,1000,72,0.122,3.278
1,2000,72,0.122,3.278
1,5000,72,0.122,3.185
2,500,72,0.122,3.772
2,1000,72,0.122,3.558
2,2000,72,0.122,3.558
2,5000,72,0.122,3.456
1,500,24,0.122,3.135
1,1000,24,0.122,2.993
1,2000,24,0.122,2.993
1,5000,24,0.122,2.907
2,500,24,0.122,3.420
2,1000,24,0.122,3.249
2,2000,24,0.122,3.249
2,5000,24,0.122,3.158
1,500,48,0.122,3.172
1,1000,48,0.122,3.003
1,2000,48,0.122,3.003
1,5000,48,0.122,2.917
2,500,48,0.122,3.443
2,1000,48,0.122,3.260
2,2000,48,0.122,3.260
2,5000,48,0.122,3.168
1,500,72,0.122,3.184
1,1000,72,0.122,3.014
1,2000,72,0.122,3.014
1,5000,72,0.122,2.927
2,500,72,0.122,3.466
2,1000,72,0.122,3.272
2,2000,72,0.122,3.272
2,5000,72,0.122,3.179
1,500,24,0.123,2.860
1,1000,24,0.123,2.730
1,2000,24,0.123,2.730
1,5000,24,0.123,2.652
2,500,24,0.123,3.120
2,1000,24,0.123,2.964
2,2000,24,0.123,2.964
2,5000,24,0.123,2.880
1,500,48,0.123,2.894
1,1000,48,0.123,2.740
1,2000,48,0.123,2.740
1,5000,48,0.123,2.662
2,500,48,0.123,3.142
2,1000,48,0.123,2.975
2,2000,48,0.123,2.975
2,5000,48,0.123,2.891
1,500,72,0.123,2.904
1,1000,72,0.123,2.750
1,2000,72,0.123,2.750
1,5000,72,0.123,2.671
2,500,72,0.123,3.164
2,1000,72,0.123,2.985
2,2000,72,0.123,2.985
2,5000,72,0.123,2.902
1,500,24,0.124,2.640
1,1000,24,0.124,2.520
1,2000,24,0.124,2.520
1,5000,24,0.124,2.448
2,500,24,0.124,2.880
2,1000,24,0.124,2.736
2,2000,24,0.124,2.736
2,5000,24,0.124,2.658
1,500,48,0.124,2.672
1,1000,48,0.124,2.528
1,2000,48,0.124,2.528
1,5000,48,0.124,2.456
2,500,48,0.124,2.900
2,1000,48,0.124,2.744
2,2000,48,0.124,2.744
2,5000,48,0.124,2.667
1,500,72,0.124,2.682
1,1000,72,0.124,2.537
1,2000,72,0.124,2.537
1,5000,72,0.124,2.465
2,500,72,0.124,2.920
2,1000,72,0.124,2.753
2,2000,72,0.124,2.753
2,5000,72,0.124,2.676
1,500,24,0.124,2.530
1,1000,24,0.124,2.415
1,2000,24,0.124,2.415
1,5000,24,0.124,2.346
2,500,24,0.124,2.760
2,1000,24,0.124,2.622
2,2000,24,0.124,2.622
2,5000,24,0.124,2.550
1,500,48,0.124,2.560
1,1000,48,0.124,2.423
1,2000,48,0.124,2.423
1,5000,48,0.124,2.354
2,500,48,0.124,2.780
2,1000,48,0.124,2.630
2,2000,48,0.124,2.630
2,5000,48,0.124,2.558
1,500,72,0.124,2.569
1,1000,72,0.124,2.431
1,2000,72,0.124,2.431
1,5000,72,0.124,2.362
2,500,72,0.124,2.800
2,1000,72,0.124,2.638
2,2000,72,0.124,2.638
2,5000,72,0.124,2.567
1,500,24,0.123,2.420
1,1000,24,0.123,2.310
1,2000,24,0.123,2.310
1,5000,24,0.123,2.244
2,500,24,0.123,2.640
2,1000,24,0.123,2.508
2,2000,24,0.123,2.508
2,5000,24,0.123,2.438
1,500,48,0.123,2.449
1,1000,48,0.123,2.317
1,2000,48,0.123,2.317
1,5000,48,0.123,2.252
2,500,48,0.123,2.658
2,1000,48,0.123,2.516
2,2000,48,0.123,2.516
2,5000,48,0.123,2.447
1,500,72,0.123,2.458
1,1000,72,0.123,2.325
1,2000,72,0.123,2.325
1,5000,72,0.123,2.260
2,500,72,0.123,2.676
2,1000,72,0.123,2.524
2,2000,72,0.123,2.524
2,5000,72,0.123,2.455
1,500,24,0.125,2.585
1,1000,24,0.125,2.468
1,2000,24,0.125,2.468
1,5000,24,0.125,2.397
2,500,24,0.125,2.820
2,1000,24,0.125,2.679
2,2000,24,0.125,2.679
2,5000,24,0.125,2.604
1,500,48,0.125,2.616
1,1000,48,0.125,2.476
1,2000,48,0.125,2.476
1,5000,48,0.125,2.405
2,500,48,0.125,2.839
2,1000,48,0.125,2.688
2,2000,48,0.125,2.688
2,5000,48,0.125,2.614
1,500,72,0.125,2.625
1,1000,72,0.125,2.485
1,2000,72,0.125,2.485
1,5000,72,0.125,2.414
2,500,72,0.125,2.858
2,1000,72,0.125,2.697
2,2000,72,0.125,2.697
2,5000,72,0.125,2.624
1,500,24,0.126,2.750
1,1000,24,0.126,2.625
1,2000,24,0.126,2.625
1,5000,24,0.126,2.550
2,500,24,0.126,3.000
2,1000,24,0.126,2.850
2,2000,24,0.126,2.850
2,5000,24,0.126,2.770
1,500,48,0.126,2.783
1,1000,48,0.126,2.633
1,2000,48,0.126,2.633
1,5000,48,0.126,2.558
2,500,48,0.126,3.021
2,1000,48,0.126,2.858
2,2000,48,0.126,2.858
2,5000,48,0.126,2.780
1,500,72,0.126,2.793
1,1000,72,0.126,2.641
1,2000,72,0.126,2.641
1,5000,72,0.126,2.567
2,500,72,0.126,3.042
2,1000,72,0.126,2.865
2,2000,72,0.126,2.865
2,5000,72,0.126,2.789
1,500,24,0.126,3.080
1,1000,24,0.126,2.940
1,2000,24,0.126,2.940
1,5000,24,0.126,2.856
2,500,24,0.126,3.360
2,1000,24,0.126,3.192
2,2000,24,0.126,3.192
2,5000,24,0.126,3.102
1,500,48,0.126,3.117
1,1000,48,0.126,2.950
1,2000,48,0.126,2.950
1,5000,48,0.126,2.866
2,500,48,0.126,3.382
2,1000,48,0.126,3.201
2,2000,48,0.126,3.201
2,5000,48,0.126,3.112
1,500,72,0.126,3.129
1,1000,72,0.126,2.960
1,2000,72,0.126,2.960
1,5000,72,0.126,2.876
2,500,72,0.126,3.404
2,1000,72,0.126,3.212
2,2000,72,0.126,3.212
2,5000,72,0.126,3.122
1,500,24,0.129,3.080
1,1000,24,0.129,2.940
1,2000,24,0.129,2.940
1,5000,24,0.129,2.856
2,500,24,0.129,3.360
2,1000,24,0.129,3.192
2,2000,24,0.129,3.192
2,5000,24,0.129,3.102
